"Player","pass_completion","KP","Min"
"Elye Wahi","79.3","6","574"
"Patrick Ciurria","72.3","13","1111"
"Alexander Isak","75.3","41","2756"
"Mats Wieffer","85.1","16","1015"
"Cesare Casadei","79.6","7","1017"
"Robin Gosens","76.5","27","2434"
"Cedric Zesiger","79.7","1","522"
"Pablo Sarabia","69.2","15","814"
"Ryan Gravenberch","89.2","26","3160"
"Santiago Bueno","88","0","1687"
"Enzo Millot","84.8","23","1843"
"Mattia De Sciglio","77.9","3","769"
"Riccardo Sottil","70.5","12","833"
"Mika M?rmol","74.4","16","2399"
"Patson Daka","72.1","1","736"
"Rafael Le?o","74.2","58","2323"
"Nahuel Est?vez","75.7","6","657"
"Conor Bradley","83.8","7","754"
"Sael Kumbedi","85.7","5","951"
"Hakan ?alhano?lu","86.6","49","1879"
"Edmond Tapsoba","86.4","4","2507"
"Yoel Lago","92.5","1","583"
"Diogo Jota","69.7","11","1196"
"Abdul Fatawu Issahaku","62.4","6","579"
"Erencan Yardimci","60.7","0","313"
"Jon Guridi","74.2","17","2080"
"Bruno Guimar?es","82.4","52","3271"
"Paulo Azzi","70","5","426"
"Jan Paul van Hecke","88.2","15","2958"
"Adam Hlo?ek","68.5","20","1871"
"Morgan Rogers","73.2","51","3114"
"Romain Del Castillo","69.8","37","1259"
"Juan Berrocal","76.1","1","1063"
"Adri?n","76.6","0","1710"
"Christoph Baumgartner","68.2","20","1610"
"Benedikt Pichler","63.2","12","785"
"Brian Oliv?n","69.2","15","1017"
"Jes?s Areso","72.4","30","3079"
"Mory Gbane","85.3","7","1125"
"Alejandro Jim?nez","80.1","12","1266"
"Mark Flekken","73","3","3275"
"Conor Townsend","63","4","335"
"Juanlu S?nchez","81.5","24","1722"
"Mergim Berisha","69.6","3","333"
"Enes ?nal","63.6","4","345"
"Kim Min-jae","92.5","6","2283"
"Aleksandar Sedlar","82.6","0","594"
"Youssouf Fofana","85.7","23","2504"
"Jhoanner Ch?vez","74.7","9","596"
"?derson","86.5","37","2881"
"Christopher Trimmel","60.5","35","1740"
"Jackson Tchatchoua","74.3","34","3167"
"Aaron Ramsdale","63.3","0","2700"
"Mathys Tel","69.5","14","911"
"Jo?l Veltman","80.2","6","1697"
"Lloyd Kelly","80.7","2","303"
"?lvaro Aguado","77.8","4","443"
"David Raum","69.4","48","1783"
"Pierre Lees-Melou","85.3","19","1526"
"Gianluca Busio","75.9","28","2518"
"R?my Cabella","82.4","26","1011"
"Yangel Herrera","81.3","17","2257"
"Wesley Sa?d","77.8","9","905"
"Yan Couto","81.1","12","895"
"Aljoscha Kemlein","75.5","10","922"
"Jos? Campa?a","84.3","14","1189"
"Jacob Greaves","85.8","5","2205"
"Danilo Veiga","64.6","6","374"
"Mason Greenwood","78.4","47","2804"
"Jordan James","84.1","24","1178"
"Lukas Nmecha","63.9","3","467"
"Kingsley Coman","84.3","32","1282"
"Arthur","78.9","2","752"
"Folarin Balogun","68","6","615"
"Marcus Tavernier","73.8","43","1939"
"Javier Guerra","77.9","23","2581"
"Strahinja Pavlovi?","88.2","6","1864"
"Tajon Buchanan","73.6","5","416"
"Kik?","65.3","13","2542"
"Oscar H?jlund","88","6","722"
"Jim Allevinah","75.2","15","1750"
"Assane Diouss?","89.6","2","663"
"Malo Gusto","86.5","22","1862"
"Emanuele Valeri","65.6","36","2873"
"Donovan L?on","59.2","3","2880"
"David Jur?sek","69.9","7","619"
"Juanpe","87.3","3","727"
"Aron D?nnum","72.5","45","2689"
"Florian M?ller","63.2","0","753"
"Fabio Miretti","74.4","22","1677"
"James Tarkowski","81","16","2922"
"Gaby Jean","84.3","1","1388"
"Bafod? Diakit?","93.2","3","2766"
"R?my Labeau Lascary","73","7","637"
"Irvin Cardona","62.1","9","606"
"David Brooks","75.4","20","960"
"Jan Bednarek","92.7","5","2531"
"Axel Tuanzebe","83.8","5","1710"
"Erhan Ma?ovi?","82.7","3","910"
"Fer L?pez","84.6","14","671"
"Joe Gomez","88.7","2","519"
"Pablo Torre","81.8","8","310"
"L?szl? B?nes","67.6","19","589"
"Ardian Ismajli","86.8","2","2508"
"Hugo Magnetti","84.9","6","2323"
"Harvey Barnes","78.1","26","1755"
"Mohamed Kaba","80.8","1","452"
"Amadou Onana","87.7","10","1617"
"Simone Scuffet","70.3","0","1170"
"Javi Puado","76.8","22","2974"
"Jos? Mar?a Gim?nez","91.8","2","1999"
"Aleix Garc?a","87.2","32","1455"
"John Tolkin","67.9","11","737"
"Jonathan David","82.1","36","2554"
"Mattia Perin","79.7","0","450"
"Noni Madueke","77.4","32","2033"
"Nicol?s Gonz?lez","92","1","760"
"Alex Kr?l","71.9","12","2714"
"Dod?","77.6","36","3025"
"Yeray ?lvarez","84.1","4","1781"
"Mamadou Sylla","62.8","14","1583"
"Matej Kovar","83.7","0","450"
"Nathan Wood-Gordon","93.3","1","773"
"Mario G?tze","77.5","34","1542"
"?lvaro Rodr?guez","46","5","852"
"Darko Bra?anac","75.7","9","1617"
"Joel Pohjanpalo","60.3","15","1603"
"Irvin Cardona","66.9","15","1063"
"Rados?aw Majecki","74.7","0","1350"
"Kaishu Sano","80.1","19","3043"
"Giorgi Mamardashvili","67.8","2","3060"
"Mohamed Haj","78.1","9","453"
"Nicol? Rovella","89.6","31","2718"
"Jean-Daniel Akpa-Akpro","79.5","3","966"
"Flynn Downes","90.4","15","2151"
"Khvicha Kvaratskhelia","85.6","25","916"
"Anass Zaroury","67.8","35","1405"
"Mario Mart?n","84.5","12","1748"
"Jon Aramburu","78.4","15","2460"
"Armin Gigovic","77.7","16","1895"
"Ladislav Krej??","90.1","8","2440"
"Calvin Bassey","89.7","3","3074"
"Bazoumana Tour?","66.8","13","609"
"Suat Serdar","74.8","10","1376"
"Nicol? Cambiaghi","72.2","12","620"
"Vitor Roque","72.8","12","1235"
"Ayoze P?rez","75.8","32","1970"
"Nadir Zortea","67.4","28","2713"
"Dinko Horka?","75.6","0","1085"
"Alberto costa","83","2","357"
"Mohamed Meit?","66","5","544"
"Amir Rrahmani","91","11","3406"
"Dominic Calvert-Lewin","62.6","7","1609"
"Kyle Walker","87.7","6","659"
"Mamadou Sarr","93.8","5","2365"
"Igor Zubeldia","86.4","4","2269"
"Yann Gboho","74.2","30","2333"
"Stephy Mavididi","75","22","1615"
"Pierrick Capelle","80.1","5","483"
"Duv?n Zapata","69","9","587"
"Nathan N'Goumou","73.6","6","828"
"Johan Mojica","74.2","40","2755"
"Jos? Gragera","87.6","1","569"
"Roberto Navarro","75.5","13","1278"
"Henrikh Mkhitaryan","87.4","29","2328"
"Carles Ale??","79.5","3","452"
"Dean Huijsen","83.4","15","2427"
"Elias Saad","76.2","14","900"
"Abdou Harroui","79.2","4","463"
"Vitaly Janelt","82.5","14","2254"
"Darwin Mach?s","59.7","8","639"
"Adama Traor?","72.2","42","1772"
"Jannik Vestergaard","90.7","3","1391"
"Joan Garc?a","71.6","0","3420"
"Rub?n Pe?a","59.2","13","775"
"Axel Disasi","90.8","2","364"
"Aur?lien Tchouam?ni","92.3","5","2689"
"Jesse Joronen","73.8","0","703"
"Tom Bischof","78.7","50","2559"
"?scar Mingueza","77","35","2729"
"Elisha Owusu","81.8","14","2344"
"Iker Bravo","81.1","7","682"
"Konan N'dri","67.2","6","306"
"Adrian Beck","80.1","21","1598"
"Giorgos Masouras","70.4","10","1055"
"John Joe","74","1","545"
"Moussa Diarra","80.2","3","1866"
"Alieu Fadera","74.6","23","1644"
"Randal Kolo Muani","73.1","5","358"
"Stanko Juri?","84.2","4","1729"
"Lucas Torr?","75.3","10","2957"
"Leo Skiri ?stig?rd","84.8","2","1227"
"Enric Franquesa","70.2","2","616"
"Marcus Thuram","73.7","39","2200"
"Finn Dahmen","69.4","0","1710"
"Federico Gatti","95","6","2195"
"Yves Bissouma","88.6","6","1408"
"Cristhian Stuani","69.5","6","1078"
"Enzo Le F?e","85.9","3","318"
"Merlin R?hl","76","9","965"
"Mike Maignan","86.2","5","3294"
"Jonathan Tah","92.9","4","2970"
"Benedict Hollerbach","65.4","26","2540"
"Federico Barba","88.4","0","431"
"?lex Su?rez","85.9","3","2460"
"Igor Matanovic","76","1","312"
"Nicolas P?p?","79.1","33","1500"
"Koji Miyoshi","59.2","5","464"
"Bruno Fernandes","76.1","91","3018"
"Victor Boniface","70.2","10","1008"
"Kelechi Iheanacho","75","5","400"
"Samuel Gigot","92","0","683"
"?lkay G?ndo?an","89.5","44","2223"
"Romelu Lukaku","71","35","2843"
"Arthur Chaves","82.1","5","2185"
"Emmanuel Agbadou","87.9","8","1260"
"Bahereba Guirassy","70.8","2","348"
"Du?an Vlahovi?","69.1","15","1784"
"Matteo Gabbia","91.2","2","2152"
"Josep Martinez","85.5","1","450"
"Yvan Neyou","86.4","13","2312"
"Nathan Zeze","85.8","1","1512"
"Marvin Ducksch","61.7","61","2418"
"Nathaniel Clyne","76","3","483"
"Antonee Robinson","76.8","43","3167"
"Jack Stephens","92","3","1389"
"Sander Berge","91.5","18","2224"
"P?ter Gul?csi","82.1","0","2631"
"Chuba Akpom","67.7","5","639"
"Enzo Tchato","75","14","1899"
"David Zec","87.7","8","1541"
"Jakub Stolarczyk","61.7","0","900"
"Samuel Lino","79.4","22","1552"
"Jonas Wind","70.6","34","1966"
"Brendan Chardonnet","82.1","8","2416"
"Manuel Neuer","86","1","1980"
"Kjetil Haug","63.1","0","498"
"Marshall Munetsi","71.7","9","1078"
"Javi Gal?n","82.9","15","1784"
"Manuel Locatelli","87.8","29","2822"
"Sergio Akieme","81","21","2523"
"Andr?","92.9","18","2472"
"Altay Bay?nd?r","60.5","0","360"
"Charlie Taylor","87.9","1","356"
"Diego G?mez","80.5","8","516"
"Nicolas Pays","77.7","3","447"
"Tim Iroegbunam","72.8","3","574"
"Lorenzo Colombo","67.5","21","2233"
"Sa?a Luki?","87.3","26","2344"
"Javi L?pez","78.4","5","1936"
"James Sands","76","1","453"
"Cameron Archer","81.7","5","1441"
"Bernardo","73.7","4","1782"
"Gabriel Gudmundsson","82.1","16","1785"
"Maximilian Arnold","77.2","45","2356"
"Christian Eriksen","78.8","31","1061"
"Pedro Porro","73.2","57","2610"
"Marc Bartra","81.3","4","2099"
"Thierry Correia","74.8","5","768"
"Myron Boadu","71.3","11","1042"
"Lucas Beltr?n","77.7","29","1864"
"Philipp Lienhart","86.2","6","2770"
"Jean Matt?o Bahoya","74.3","18","921"
"Jakub Kiwior","91.4","5","1122"
"Florian Ay?","73.6","3","575"
"Ga?tan Laborde","69.6","27","1829"
"Nico Elvedi","92","5","2135"
"Andy Delort","49.1","7","607"
"Lorenzo Pellegrini","79.5","27","1626"
"Dani Raba","67.1","47","1879"
"Thomas Kristensen","79.9","4","1754"
"Donyell Malen","68.8","3","305"
"Jakov Medi?","87.4","3","1603"
"Warren Bondo","88.9","5","1618"
"Rafik Messali","73.1","11","456"
"Lorenzo De Silvestri","79.1","5","1060"
"Isma?l Kon?","86.7","4","360"
"Alessandro Vogliacco","91.6","3","772"
"Francesco Zampano","73.2","12","1639"
"Mostafa Mohamed","64.8","6","1252"
"Alessandro Vogliacco","78","1","715"
"Jordan Veretout","83.9","13","1553"
"Issa Diop","87.5","3","1339"
"Andr?s Garc?a","86.6","3","318"
"Lee Jae-sung","77.5","34","2650"
"Thomas Partey","87.4","20","2797"
"Gabriele Zappa","76.5","28","3060"
"John Yeboah","72.9","20","1226"
"Lloyd Kelly","83.1","3","1013"
"Zuriko Davitashvili","78.6","50","2778"
"Kirian Rodr?guez","85.2","16","1758"
"Kamory Doumbia","80.5","26","1322"
"Conor Gallagher","85","12","1633"
"Trevoh Chalobah","79","4","1060"
"Adrien Tameze","86","6","649"
"Jos? S?","64.1","3","2609"
"Facundo Garc?s","76.1","3","678"
"Jos? Luis Gay?","77.8","24","1803"
"Junya Ito","66.8","82","2690"
"Brajan Gruda","74.5","23","687"
"Adnan Januzaj","69.1","17","598"
"Carlos Benav?dez","69.4","3","487"
"Boubakary Soumar?","87","11","2171"
"Yoane Wissa","76.5","27","2919"
"Hugo Ekitike","75.5","44","2563"
"C?dric Kipr?","88.9","10","2190"
"Anastasios Douvikas","76.4","9","580"
"Alexander Bernhardsson","60.5","17","1263"
"M?ximo Perrone","90.4","30","1857"
"Unai Sim?n","69.6","0","1890"
"Oliver Scarles","78.8","2","665"
"Marc?o","90.2","0","552"
"Pablo Maffeo","70.8","29","2368"
"Brennan Johnson","70.4","19","2177"
"Oliver Baumann","69.1","3","2520"
"S?bastien Haller","60","1","404"
"El Bilal Tour?","78.1","7","356"
"Davide Calabria","82.5","13","632"
"Samuele Ricci","88","15","2825"
"Loum Tchaouna","69.6","10","660"
"Copete","83.3","0","1528"
"Marin Pongra?i?","89.2","5","1292"
"Kevin De Bruyne","75.9","57","1702"
"Himad Abdelli","82.1","39","2842"
"Martin ?degaard","82.5","63","2325"
"Sam Beukema","86.4","10","3012"
"Randy Nteka","64.6","9","1129"
"Lo?s Openda","63.8","28","2453"
"Cenk ?zkacar","84.4","1","757"
"Milan ?kriniar","96.5","1","382"
"Mario Lemina","80.4","10","1364"
"Luca Philipp","63.4","0","540"
"Gerard Moreno","77","17","721"
"Ruben Vargas","67.2","13","671"
"Jo?ko Gvardiol","90.2","26","3277"
"Kalvin Phillips","79.1","5","1237"
"Senny Mayulu","87.8","12","808"
"Jean-Ricner Bellegarde","79.3","27","1677"
"Aihen Mu?oz","71","3","1098"
"Matt?o Guendouzi","89.8","43","3270"
"Fisayo Dele-Bashiru","87.7","10","947"
"Yussuf Poulsen","59.6","7","378"
"Levi Colwill","89.3","14","3149"
"Moi G?mez","80.6","11","796"
"Dimitri Foulquier","78.9","10","2299"
"Jeremy Doku","79.1","32","1516"
"Patrick Wimmer","65.7","24","1770"
"Connor Metcalfe","64.4","3","358"
"Mahamadou Nagida","77","3","430"
"Marvin Friedrich","88.4","3","989"
"Kialonda","86.5","6","2144"
"T?ji Savanier","69.6","67","2363"
"Harry Maguire","85.5","9","1758"
"Julen Agirrezabala","68.4","0","1206"
"Jasper Cillessen","68.2","0","2335"
"Axel Witsel","90.6","2","852"
"Endrick","78.7","4","363"
"Valentino Livramento","85.4","25","2840"
"Rasmus Kristensen","77.7","20","2513"
"Juma Bah","93.4","2","686"
"Yasin Ayari","81.5","30","1965"
"Stefan Bell","78.6","5","1436"
"James Maddison","81.3","41","1809"
"Williot Swedberg","73.3","16","1348"
"Mattia Zaccagni","75.8","55","2686"
"Randal Kolo Muani","69.9","17","1160"
"Max Geschwill","74.3","10","1282"
"Pape Matar Sarr","86.4","15","1913"
"Kevin M?ller","75.6","0","2939"
"Wilfried Singo","86.2","7","2096"
"Louis Mouton","80.2","16","1045"
"Fran Garcia","86.7","24","2171"
"Bamba Dieng","77.7","1","532"
"Elia Caprile","68.3","0","1620"
"Daniel Bandeira","82.6","3","407"
"Anthony Caci","71.8","50","2684"
"Charles De Ketelaere","75.8","39","2070"
"Mikkel Kaufmann","49.5","3","372"
"Mathew Ryan","74.8","0","1260"
"Patrick Cutrone","70.3","19","2047"
"Simon Adingra","75.9","16","1097"
"Walid Cheddira","70.9","6","640"
"?lvaro djal?","66.4","4","659"
"Christian Kouam?","60.8","8","507"
"Micky van de Ven","90.9","2","1015"
"Oladapo Afolayan","69.4","21","1639"
"Vicente Guaita","82.1","0","3060"
"Willy Kambwala","87.7","1","1117"
"Alexsandro Ribeiro","91.2","9","2700"
"Benjamin Henrichs","75.6","11","935"
"Thomas D?hne","77","0","810"
"Juan Miranda","75.7","57","2277"
"Bryan Zaragoza","64.6","36","1836"
"Scott McKenna","86.7","4","2466"
"Alejo V?liz","65.2","3","1127"
"Gianluigi Donnarumma","87.3","0","2091"
"Denis Vavro","86.9","7","2461"
"Jonathan Bamba","78.8","12","811"
"Dejan Kulusevski","73.7","65","2389"
"Youssouf Ndayishimiye","89.4","5","1932"
"Marcos Andr?","65.7","9","1188"
"Benjamin ?e?ko","67.6","19","2380"
"Lars Ritzka","71.5","5","922"
"Morten Thorsby","66.6","27","1898"
"Danilo D'Ambrosio","86.8","5","1095"
"Alberto Moleiro","81.3","41","2714"
"Juan Cruz Armada","78","2","1492"
"Yael Mouanga","87.7","2","946"
"Angel Gomes","81","14","736"
"Antonio Candela","77.2","6","906"
"Jaden Philogene Bidace","72.5","5","474"
"Kenny Tete","80.8","9","1774"
"Ermedin Demirovi?","70.3","18","1855"
"Lukas Daschner","64.6","6","412"
"Omari Hutchinson","78","31","2583"
"Tanner Tessmann","89.4","7","1234"
"Pablo Dur?n","71","17","1394"
"Unai N??ez","87.1","1","645"
"Pedro Chirivella","85.1","19","2348"
"Javi S?nchez","87.3","6","2026"
"Anthony Lopes","65.1","0","1563"
"Matheus Nunes","86.3","23","1674"
"Breel Embolo","69.2","32","1841"
"Tyler Dibling","81.3","20","1874"
"Jos? Luis Palomino","86.7","1","1081"
"Mat?as Soul?","82.2","51","1781"
"Javier Mu?oz","77.9","29","2588"
"Musa Al-Taamari","81.8","10","567"
"Hans Nicolussi Caviglia","79.3","29","2861"
"Devyne Rensch","81.9","2","469"
"Piero Hincapi?","87.9","16","2670"
"Timo Becker","77.4","6","2445"
"Juma Bah","81.1","1","864"
"Djen?","75.6","9","2548"
"?scar de Marcos","79.2","19","1564"
"Donny van de Beek","81.7","18","1421"
"Gavi","90","14","1085"
"Cristhian Mosquera","90.5","0","3319"
"Lesley Ugochukwu","85","14","1655"
"Ismaila Sarr","66","44","2711"
"Frederik R?nnow","68.6","0","2520"
"Julio Enciso","69","13","869"
"Jordan Amavi","73.4","6","790"
"Nathan Broadhead","78.1","7","702"
"Woyo Coulibaly","86.7","8","1084"
"Pontus Almqvist","72.4","10","1112"
"Dani G?mez","74.7","1","532"
"H?kon Arnar Haraldsson","79.4","35","1755"
"Marvin Schulz","78","4","306"
"Florian Tardieu","85.8","19","1252"
"Cheikh Tidiane Niasse","80","4","755"
"Othmane Maamma","65.4","3","361"
"F?bio Silva","66.3","16","1866"
"Ra?l Jim?nez","71.2","24","2494"
"Rafa Mir","72","4","753"
"Jorge S?enz","83.7","2","1690"
"Tuta","87.7","4","2274"
"Quentin Merlin","82.4","25","1589"
"Alexis Mac Allister","83.5","45","2599"
"Isma?l Kon?","84.6","5","469"
"Florian Wirtz","78.3","57","2351"
"Michael Folorunsho","70.6","3","650"
"Sergi","83.7","5","2957"
"Daniel Vivian","87.1","10","2608"
"Luk?? Hr?deck?","75.3","0","2610"
"Jon Pacheco","83.2","1","854"
"Kr?pin Diatta","76.4","4","508"
"James Mcatee","80","3","349"
"Yorbe Vertessen","66.2","15","718"
"Stoichkov","61.7","7","699"
"Edu Exp?sito","65.6","28","1045"
"Davide Frattesi","82.5","7","1158"
"Nahuel Tenaglia","72.1","19","2922"
"Adam Webster","87.7","3","887"
"Jonas Urbig","81.1","0","720"
"Can Uzun","79.9","14","675"
"Andrea Pinamonti","62.8","15","2850"
"Gianluca Lapadula","60.3","3","310"
"Alfon","69.8","24","1371"
"Andreas Pereira","69.1","57","2013"
"Manolis Saliakas","71.8","26","2314"
"Mehdi Taremi","80.1","15","807"
"Ali Demb?l?","75.6","3","388"
"Lo?c Nego","75.1","13","2459"
"Alan Matturro","78","3","900"
"Moussa Niakhate","90.3","7","2726"
"Mandela Keita","90.5","15","1826"
"Akor Adams","62.6","12","1075"
"Renato Veiga","88","2","1093"
"Guido Rodr?guez","84.4","4","1149"
"Martin Erlic","91.7","0","334"
"Diego Rico","67.6","36","2819"
"Pau Navarro","89.6","1","916"
"Maximilian Eggestein","83.5","19","2845"
"Tim Siersleben","80.8","6","1182"
"Emre Can","89.5","8","2105"
"Keinan Davis","75.6","20","1066"
"Kevin Trapp","73.2","0","2295"
"I?igo Mart?nez","91","16","2490"
"Rodrigo Muniz","64.8","7","964"
"Oriol Romeu","90.4","8","1356"
"Junior Sambia","68.1","6","387"
"Mikel Oyarzabal","73.5","15","2250"
"Aleksandar Pavlovic","93.3","7","1451"
"Tim Skarke","70","16","1164"
"Benjamin Bouchouari","86.7","16","1772"
"Wes Burns","60.5","10","926"
"Leo Rom?n","57.1","0","630"
"Antonio S?nchez","72.8","5","1395"
"Jack Clarke","76.8","28","1181"
"Paul Onuachu","60.8","8","1050"
"Romain Perraud","79.6","16","2002"
"Mattia Viti","80.2","5","2572"
"Carl Starfelt","93.7","6","2270"
"Warren Za?re-Emery","92.8","18","2050"
"Patrik Carlgren","65.7","0","417"
"Ruben Aguilar","80.3","11","1124"
"Nicol? Fagioli","88.5","4","571"
"Mohamed Ali Cho","70.3","30","1621"
"Djibril Sow","88.8","21","2062"
"Nick Pope","73.5","1","2520"
"Yukinari Sugawara","80","17","1557"
"Issiaga Sylla","77.3","7","1156"
"Suso","74","22","606"
"Romain Faivre","82.1","10","899"
"Castello Lukeba","85.1","4","1577"
"Borja Mayoral","77.6","8","1114"
"Johan Manzambi","75.5","3","335"
"Gvidas Gineitis","74.7","21","1430"
"Sidiki Cherif","53.2","2","324"
"Kevin Danso","85.6","6","1080"
"Viktor Tsyhankov","74.2","33","1913"
"Federico Ravaglia","78.4","1","1056"
"Ridle Baku","75.2","14","1275"
"Nediljko Labrovi?","70.2","0","1350"
"Abde Ezzalzouli","71.6","27","1984"
"Jean Butez","78.2","1","1666"
"Catena","83.8","10","3074"
"Lucas Mart?nez Quarta","88.6","1","351"
"Marcos Alonso","89.2","21","2647"
"Nuno Mendes","86.9","30","1676"
"Valentin Atangana Edoa","86","12","2854"
"Kilian Fischer","78.6","12","2297"
"Dean Henderson","61.3","3","3420"
"Giuliano Simeone","75.5","24","1926"
"Robert Wagner","75.4","0","407"
"Riccardo Calafiori","85.6","6","983"
